From,To,Assignment Name,Value,Enabled
,DRAM_DQ[3],Location,PIN_AD1,Yes
,DRAM_DQ[30],Location,PIN_AB1,Yes
,DRAM_DQ[31],Location,PIN_AB2,Yes
,DRAM_DQ[4],Location,PIN_AD2,Yes
,DRAM_DQ[5],Location,PIN_AD3,Yes
,DRAM_DQ[6],Location,PIN_AE1,Yes
,DRAM_DQ[7],Location,PIN_AE2,Yes
,DRAM_DQ[8],Location,PIN_AE3,Yes
,DRAM_DQ[9],Location,PIN_AF1,Yes
,oDRAM0_A[0],Location,PIN_AA4,Yes
,oDRAM0_A[1],Location,PIN_AA5,Yes
,oDRAM0_A[10],Location,PIN_Y8,Yes
,oDRAM0_A[11],Location,PIN_AE4,Yes
,oDRAM0_A[12],Location,PIN_AF4,Yes
,oDRAM0_A[2],Location,PIN_AA6,Yes
,oDRAM0_A[3],Location,PIN_AB5,Yes
,oDRAM0_A[4],Location,PIN_AB7,Yes
,oDRAM0_A[5],Location,PIN_AC4,Yes
,oDRAM0_A[6],Location,PIN_AC5,Yes
,oDRAM0_A[7],Location,PIN_AC6,Yes
,oDRAM0_A[8],Location,PIN_AD4,Yes
,oDRAM0_A[9],Location,PIN_AC7,Yes
,oDRAM0_BA[0],Location,PIN_AA9,Yes
,oDRAM0_BA[1],Location,PIN_AA10,Yes
,oDRAM0_CAS_N,Location,PIN_W10,Yes
,oDRAM0_CKE,Location,PIN_AA8,Yes
,oDRAM0_CLK,Location,PIN_AD6,Yes
,oDRAM0_CS_N,Location,PIN_Y10,Yes
,oDRAM0_LDQM0,Location,PIN_V9,Yes
,oDRAM0_RAS_N,Location,PIN_Y9,Yes
,oDRAM0_UDQM1,Location,PIN_AB6,Yes
,oDRAM0_WE_N,Location,PIN_W9,Yes
,oDRAM1_A[0],Location,PIN_T5,Yes
,oDRAM1_A[1],Location,PIN_T6,Yes
,oDRAM1_A[10],Location,PIN_T4,Yes
,oDRAM1_A[11],Location,PIN_Y4,Yes
,oDRAM1_A[12],Location,PIN_Y7,Yes
,oDRAM1_A[2],Location,PIN_U4,Yes
,oDRAM1_A[3],Location,PIN_U6,Yes
,oDRAM1_A[4],Location,PIN_U7,Yes
,oDRAM1_A[5],Location,PIN_V7,Yes
,oDRAM1_A[6],Location,PIN_V8,Yes
,oDRAM1_A[7],Location,PIN_W4,Yes
,oDRAM1_A[8],Location,PIN_W7,Yes
,oDRAM1_A[9],Location,PIN_W8,Yes
,oDRAM1_BA[0],Location,PIN_T7,Yes
,oDRAM1_BA[1],Location,PIN_T8,Yes
,oDRAM1_CAS_N,Location,PIN_N8,Yes
,oDRAM1_CKE,Location,PIN_L10,Yes
,oDRAM1_CLK,Location,PIN_G5,Yes
,oDRAM1_CS_N,Location,PIN_P9,Yes
,oDRAM1_LDQM0,Location,PIN_M10,Yes
,oDRAM1_RAS_N,Location,PIN_N9,Yes
,oDRAM1_UDQM1,Location,PIN_U8,Yes
,oDRAM1_WE_N,Location,PIN_M9,Yes
,oSRAM_A[0],Location,PIN_AG8,Yes
,oSRAM_A[1],Location,PIN_AF8,Yes
,oSRAM_A[10],Location,PIN_AF14,Yes
,oSRAM_A[11],Location,PIN_AG14,Yes
,oSRAM_A[12],Location,PIN_AE15,Yes
,oSRAM_A[13],Location,PIN_AF15,Yes
,oSRAM_A[14],Location,PIN_AC16,Yes
,oSRAM_A[15],Location,PIN_AF20,Yes
,oSRAM_A[16],Location,PIN_AG20,Yes
,oSRAM_A[17],Location,PIN_AE11,Yes
,oSRAM_A[18],Location,PIN_AF11,Yes
,oSRAM_A[2],Location,PIN_AH7,Yes
,oSRAM_A[3],Location,PIN_AG7,Yes
,oSRAM_A[4],Location,PIN_AG6,Yes
,oSRAM_A[5],Location,PIN_AG5,Yes
,oSRAM_A[6],Location,PIN_AE12,Yes
,oSRAM_A[7],Location,PIN_AG12,Yes
,oSRAM_A[8],Location,PIN_AD13,Yes
,oSRAM_A[9],Location,PIN_AE13,Yes
,oSRAM_ADSC_N,Location,PIN_AG17,Yes
,oSRAM_ADSP_N,Location,PIN_AC18,Yes
,oSRAM_ADV_N,Location,PIN_AD16,Yes
,oSRAM_BE_N[0],Location,PIN_AC21,Yes
,oSRAM_BE_N[1],Location,PIN_AC20,Yes
,oSRAM_BE_N[2],Location,PIN_AD20,Yes
,oSRAM_BE_N[3],Location,PIN_AH20,Yes
,oSRAM_CE1_N,Location,PIN_AH19,Yes
,oSRAM_CE2,Location,PIN_AG19,Yes
,oSRAM_CE3_N,Location,PIN_AD22,Yes
,oSRAM_CLK,Location,PIN_AD7,Yes
,SRAM_DPA[0],Location,PIN_AK9,Yes
,SRAM_DPA[1],Location,PIN_AJ23,Yes
,SRAM_DPA[2],Location,PIN_AK20,Yes
,SRAM_DPA[3],Location,PIN_AJ9,Yes
,SRAM_DQ[0],Location,PIN_AH10,Yes
,SRAM_DQ[1],Location,PIN_AJ10,Yes
,SRAM_DQ[10],Location,PIN_AH17,Yes
,SRAM_DQ[11],Location,PIN_AJ18,Yes
,SRAM_DQ[12],Location,PIN_AH18,Yes
,SRAM_DQ[13],Location,PIN_AK19,Yes
,SRAM_DQ[14],Location,PIN_AJ19,Yes
,SRAM_DQ[15],Location,PIN_AK23,Yes
,SRAM_DQ[16],Location,PIN_AJ20,Yes
,SRAM_DQ[17],Location,PIN_AK21,Yes
,SRAM_DQ[18],Location,PIN_AJ21,Yes
,SRAM_DQ[19],Location,PIN_AK22,Yes
,SRAM_DQ[2],Location,PIN_AK10,Yes
,SRAM_DQ[20],Location,PIN_AJ22,Yes
,SRAM_DQ[21],Location,PIN_AH15,Yes
,SRAM_DQ[22],Location,PIN_AJ15,Yes
,SRAM_DQ[23],Location,PIN_AJ16,Yes
,SRAM_DQ[24],Location,PIN_AK14,Yes
,SRAM_DQ[25],Location,PIN_AJ14,Yes
,SRAM_DQ[26],Location,PIN_AJ13,Yes
,SRAM_DQ[27],Location,PIN_AH13,Yes
,SRAM_DQ[28],Location,PIN_AK12,Yes
,SRAM_DQ[29],Location,PIN_AK7,Yes
,SRAM_DQ[3],Location,PIN_AJ11,Yes
,SRAM_DQ[30],Location,PIN_AJ8,Yes
,SRAM_DQ[31],Location,PIN_AK8,Yes
,SRAM_DQ[4],Location,PIN_AK11,Yes
,SRAM_DQ[5],Location,PIN_AH12,Yes
,SRAM_DQ[6],Location,PIN_AJ12,Yes
,SRAM_DQ[7],Location,PIN_AH16,Yes
,SRAM_DQ[8],Location,PIN_AK17,Yes
,SRAM_DQ[9],Location,PIN_AJ17,Yes
,oSRAM_GW_N,Location,PIN_AG18,Yes
,oSRAM_OE_N,Location,PIN_AD18,Yes
,oSRAM_WE_N,Location,PIN_AF18,Yes
,oSD_CLK,Location,PIN_T26,Yes
,SD_CMD,Location,PIN_W28,Yes
,SD_DAT,Location,PIN_W29,Yes
,SD_DAT3,Location,PIN_Y30,Yes
